Date,Open,High,Low,Close,Adj Close,Volume
1950-01-03,16.660000,16.660000,16.660000,16.660000,16.660000,1260000
1950-01-04,16.850000,16.850000,16.850000,16.850000,16.850000,1890000
1950-01-05,16.930000,16.930000,16.930000,16.930000,16.930000,2550000
1950-01-06,16.980000,16.980000,16.980000,16.980000,16.980000,2010000
1950-01-09,17.080000,17.080000,17.080000,17.080000,17.080000,2520000
1950-01-10,17.030001,17.030001,17.030001,17.030001,17.030001,2160000
1950-01-11,17.090000,17.090000,17.090000,17.090000,17.090000,2630000
1950-01-12,16.760000,16.760000,16.760000,16.760000,16.760000,2970000
1950-01-13,16.670000,16.670000,16.670000,16.670000,16.670000,3330000
1950-01-16,16.719999,16.719999,16.719999,16.719999,16.719999,1460000
1950-01-17,16.860001,16.860001,16.860001,16.860001,16.860001,1790000
1950-01-18,16.850000,16.850000,16.850000,16.850000,16.850000,1570000
1950-01-19,16.870001,16.870001,16.870001,16.870001,16.870001,1170000
1950-01-20,16.900000,16.900000,16.900000,16.900000,16.900000,1440000
1950-01-23,16.920000,16.920000,16.920000,16.920000,16.920000,1340000
1950-01-24,16.860001,16.860001,16.860001,16.860001,16.860001,1250000
1950-01-25,16.740000,16.740000,16.740000,16.740000,16.740000,1700000
1950-01-26,16.730000,16.730000,16.730000,16.730000,16.730000,1150000
1950-01-27,16.820000,16.820000,16.820000,16.820000,16.820000,1250000
1950-01-30,17.020000,17.020000,17.020000,17.020000,17.020000,1640000
1950-01-31,17.049999,17.049999,17.049999,17.049999,17.049999,1690000
1950-02-01,17.049999,17.049999,17.049999,17.049999,17.049999,1810000
1950-02-02,17.230000,17.230000,17.230000,17.230000,17.230000,2040000
1950-02-03,17.290001,17.290001,17.290001,17.290001,17.290001,2210000
1950-02-06,17.320000,17.320000,17.320000,17.320000,17.320000,1490000
1950-02-07,17.230000,17.230000,17.230000,17.230000,17.230000,1360000
1950-02-08,17.209999,17.209999,17.209999,17.209999,17.209999,1470000
1950-02-09,17.280001,17.280001,17.280001,17.280001,17.280001,1810000
1950-02-10,17.240000,17.240000,17.240000,17.240000,17.240000,1790000
1950-02-14,17.059999,17.059999,17.059999,17.059999,17.059999,2210000
1950-02-15,17.059999,17.059999,17.059999,17.059999,17.059999,1730000
1950-02-16,16.990000,16.990000,16.990000,16.990000,16.990000,1920000
